12,ACAJETE,72.894,1,8,1,10,001
5,ACATENO,9.17,1,6,1,8,002
23,ACATLAN,37.955,1,6,1,8,003
13,ACATZINGO,63.743,1,8,1,10,004
22,ACTEOPAN,3.07,1,6,1,8,005
2,AHUACATLAN,14.542,1,6,1,8,006
23,AHUATLAN,3.162,1,6,1,8,007
3,AHUAZOTEPEC,11.439,1,6,1,8,008
23,AHUEHUETITLA,2.207,1,6,1,8,009
26,AJALPAN,74.768,1,8,1,10,010
22,ALBINO ZERTUCHE,1.885,1,6,1,8,011
14,ALJOJUCA,6.591,1,6,1,8,012
26,ALTEPEXI,22.629,1,6,1,8,013
2,AMIXTLAN,4.812,1,6,1,8,014
12,AMOZOC,125.876,1,8,1,10,015
3,AQUIXTLA,9.021,1,6,1,8,016
5,ATEMPAN,29.742,1,6,1,8,017
24,ATEXCAL,3.859,1,6,1,8,018
4,ATLEQUIZAYAN,2.633,1,6,1,8,080
21,ATLIXCO,141.793,1,8,1,10,019
12,ATOYATEMPAN,7.704,1,6,1,8,020
22,ATZALA,1.512,1,6,1,8,021
21,ATZITZIHUACAN,12.857,1,6,1,8,022
14,ATZITZINTLA,9.051,1,6,1,8,023
23,AXUTLA,976,1,6,1,8,024
5,AYOTOXCO DE GUERRERO,8.208,1,6,1,8,025
8,CALPAN,15.271,1,6,1,8,026
24,CALTEPEC,4.128,1,6,1,8,027
2,CAMOCUAUTLA,2.758,1,6,1,8,028
4,CAXHUACAN,3.811,1,6,1,8,099
25,CAYADA MORELOS,20.659,1,6,1,8,029
14,CHALCHICOMULA DE SESMA,47.41,1,6,1,8,045
25,CHAPULCO,8.193,1,6,1,8,046
22,CHIAUTLA,21.699,1,6,1,8,047
8,CHIAUTZINGO,22.039,1,6,1,8,048
14,CHICHIQUILA,26.928,1,6,1,8,050
2,CHICONCUAUTLA,17.382,1,6,1,8,049
22,CHIETLA,37.03,1,6,1,8,051
23,CHIGMECATITLAN,1.215,1,6,1,8,052
3,CHIGNAHUAPAN,66.464,1,8,1,10,053
6,CHIGNAUTLA,35.223,1,6,1,8,054
22,CHILA,1.317,1,6,1,8,055
23,CHILA DE LA SAL,5.082,1,6,1,8,056
14,CHILCHOTLA,21.002,1,6,1,8,058
23,CHINANTLA,2.846,1,6,1,8,059
2,COATEPEC,772,1,6,1,8,030
23,COATZINGO,2.82,1,6,1,8,031
22,COHETZALA,1.382,1,6,1,8,032
22,COHUECAN,5.403,1,6,1,8,033
8,CORONANGO,46.836,1,6,1,8,034
26,COXCATLAN,20.653,1,6,1,8,035
26,COYOMEAPAN,14.806,1,6,1,8,036
24,COYOTEPEC,2.334,1,6,1,8,037
13,CUAPIAXTLA DE MADERO,10.542,1,6,1,8,038
4,CUAUTEMPAN,9.837,1,6,1,8,039
12,CUAUTINCHAN,12.34,1,6,1,8,040
9,CUAUTLANCINGO,137.435,1,8,1,10,041
23,CUAYUCA DE ANDRADE,3.315,1,6,1,8,042
5,CUETZALAN DEL PROGRESO,49.864,1,6,1,8,043
6,CUYOACO,17.139,1,6,1,8,044
8,DOMINGO ARENAS,7.982,1,6,1,8,060
26,ELOXOCHITLAN,14.461,1,6,1,8,061
23,EPATLAN,4.943,1,6,1,8,062
14,ESPERANZA,14.766,1,6,1,8,063
1,FRANCISCO Z. MENA,17.824,1,6,1,8,064
15,GENERAL FELIPE ANGELES,22.694,1,6,1,8,065
23,GUADALUPE,6.451,1,6,1,8,066
6,GUADALUPE VICTORIA,18.784,1,6,1,8,067
2,HERMENEGILDO GALEANA,7.011,1,6,1,8,068
1,HONEY,6.687,1,6,1,8,057
22,HUAQUECHULA,29.233,1,6,1,8,069
23,HUATLATLAUCA,6.111,1,6,1,8,070
2,HUAUCHINANGO,103.946,1,8,1,10,071
4,HUEHUETLA,17.082,1,6,1,8,072
22,HUEHUETLAN EL CHICO,9.76,1,6,1,8,073
23,HUEHUETLAN EL GRANDE,6.105,1,6,1,8,150
8,HUEJOTZINGO,90.794,1,8,1,10,074
5,HUEYAPAN,13.08,1,6,1,8,075
5,HUEYTAMALCO,27.6,1,6,1,8,076
4,HUEYTLALPAN,5.951,1,6,1,8,077
4,HUITZILAN DE SERDAN,15.928,1,6,1,8,078
23,HUITZILTEPEC,5.782,1,6,1,8,079
22,IXCAMILPA DE GUERRERO,4.065,1,6,1,8,081
24,IXCAQUIXTLA,8.804,1,6,1,8,082
3,IXTACAMAXTITLAN,25.319,1,6,1,8,083
4,IXTEPEC,6.95,1,6,1,8,084
22,IZUCAR DE MATAMOROS,82.809,1,8,1,10,085
1,JALPAN,12.05,1,6,1,8,086
22,JOLALPAN,13.308,1,6,1,8,087
5,JONOTLA,4.457,1,6,1,8,088
2,JOPALA,12.131,1,6,1,8,089
8,JUAN C. BONILLA,23.783,1,6,1,8,090
2,JUAN GALINDO,9.828,1,6,1,8,091
24,JUAN N. MENDEZ,5.293,1,6,1,8,092
23,LA MAGDALENA TLATLAUQUITEPEC,650,1,6,1,8,095
6,LAFRAGUA,7.65,1,6,1,8,093
3,LIBRES,37.257,1,6,1,8,094
13,LOS REYES DE JUAREZ,30.021,1,6,1,8,118
13,MAZAPILTEPEC DE JUAREZ,3.176,1,6,1,8,096
12,MIXTLA,2.668,1,6,1,8,097
23,MOLCAXAC,6.668,1,6,1,8,098
1,NAUPAN,9.31,1,6,1,8,100
4,NAUZONTLA,3.317,1,6,1,8,101
8,NEALTICAN,14.075,1,6,1,8,102
25,NICOLAS BRAVO,6.644,1,6,1,8,103
13,NOPALUCAN,32.772,1,6,1,8,104
3,OCOTEPEC,5.077,1,6,1,8,105
21,OCOYUCAN,42.669,1,6,1,8,106
4,OLINTLA,11.993,1,6,1,8,107
14,ORIENTAL,19.903,1,6,1,8,108
1,PAHUATLAN,20.274,1,6,1,8,109
